,equity
2024-05-24,82292.93035808469
2024-05-27,82382.2926250819
2024-05-28,82958.51223202213
2024-05-29,82665.5415710932
2024-05-30,84865.83399921664
2024-05-31,83481.4542180096
2024-06-03,84743.07834466347
2024-06-04,85304.10310534478
2024-06-05,85018.5317661411
2024-06-06,85917.42946163504
2024-06-07,86348.13790802688
2024-06-10,86773.66914842502
2024-06-11,86826.56700253057
2024-06-12,86781.92732004015
2024-06-13,86740.43931700442
2024-06-14,86925.21644899526
2024-06-17,87173.00257362876
2024-06-18,87177.41298517224
2024-06-19,86389.71242776736
2024-06-20,87298.0456031427
2024-06-21,88310.2175054877
2024-06-24,89065.87333851725
2024-06-25,89918.35178772015
2024-06-26,89751.48726618929
2024-06-27,88926.75171741753
2024-06-28,88168.57333861267
2024-07-01,86664.55397191049
2024-07-02,86998.69803225924
2024-07-03,87019.78450471467
2024-07-04,86692.34601423681
2024-07-05,83947.5805162894
2024-07-08,82838.14552847005
2024-07-09,83295.17968093535
2024-07-10,83085.87030510827
2024-07-11,83259.92510476627
2024-07-12,82781.13228609502
2024-07-15,83356.7071231344
2024-07-16,83342.04806969666
2024-07-17,83490.63648958967
2024-07-18,84417.2648075693
2024-07-19,85047.30634524266
2024-07-22,84968.45342433214
2024-07-23,84765.9105781215
2024-07-24,84722.51234724058
2024-07-25,84918.0750154512
2024-07-26,84909.5612241567
2024-07-29,84863.33349374599
2024-07-30,85082.99762007379
2024-07-31,85055.27304307435
2024-08-01,85982.56685804816
2024-08-02,86028.64380501938
